ascii,codigo
110,0000
102,00010
121,000110
103,000111
101,001
107,0100000
120,010000100
45,010000101
55,010000110
57,010000111
109,010001
108,01001
114,0101
97,0110
111,0111
66,100000000
153,1000000010
194,10000000110
124,100000001110
122,100000001111
56,100000010
74,1000000110
71,1000000111
84,10000010
54,100000110
53,100000111
119,100001
100,10001
116,1001
106,1010000000
79,1010000001
87,101000001
72,101000010
52,101000011
46,1010001
65,101001000
162,101001001000000
176,101001001000001
151,101001001000010
43,101001001000011
225,10100100100010
181,10100100100011
89,101001001001
40,10100100101
85,101001001100
148,101001001101
41,10100100111
50,10100101
67,101001100
69,101001101
95,10100111
117,101010
99,101011
82,101100000
48,101100001
78,1011000100
68,1011000101
128,101100011
98,1011001
44,101101
104,10111
32,110
105,11100
226,111010000
76,1110100010
61,11101000110000000
38,11101000110000001
33,1110100011000001
47,1110100011000010
184,1110100011000011000
134,1110100011000011001
179,111010001100001101
203,11101000110000111
202,111010001100010
136,11101000110001100
152,11101000110001101
90,111010001100011100
35,1110100011000111010
160,1110100011000111011
36,1110100011000111100
37,11101000110001111010
169,11101000110001111011
63,111010001100011111
91,11101000110010
93,11101000110011
75,111010001101
156,11101000111
83,111010010
59,1110100110
113,11101001110
163,111010011110
86,111010011111
112,1110101
10,111011
13,111100
49,11110100
73,111101010
77,1111010110
80,1111010111
118,11110110
157,11110111000
166,111101110010000
132,1111011100100010
137,11110111001000110
190,11110111001000111
189,11110111001001
88,1111011100101
195,111101110011000
146,11110111001100100
129,111101110011001010
161,111101110011001011
177,111101110011001100
188,111101110011001101
42,11110111001100111
81,11110111001101
58,1111011100111
70,1111011101
51,111101111
115,11111
